pop,prePop_pop,sec,delay,gid,psp
HTC,HTC_HTC,soma,5000,0,-119.85130499276127
TC,HTC_TC,soma,5000,1,-119.85130500176088
IREM,HTC_IREM,soma,5000,2,-123.8593319158877
IRE,HTC_IRE,soma,5000,3,-123.71529686614969
TI,HTC_TI,dend,5000,4,-119.48496281084488
TI,HTC_TI,soma,10000,4,-119.48496281084488
TIM,HTC_TIM,dend,5000,5,-119.48496281084488
TIM,HTC_TIM,soma,10000,5,-119.48496281084488
IT3,HTC_IT3,Adend1,5000,6,-134.67738230963732
IT3,HTC_IT3,Adend2,10000,6,-134.67738230963732
IT3,HTC_IT3,Adend3,15000,6,-134.67738230963732
IT3,HTC_IT3,Bdend,20000,6,-134.67738230963732
IT3,HTC_IT3,soma,25000,6,-134.67738230963732
ITP4,HTC_ITP4,Adend1,5000,7,-134.86787858101724
ITP4,HTC_ITP4,Adend2,10000,7,-134.86787858101724
ITP4,HTC_ITP4,Adend3,15000,7,-134.86787858101724
ITP4,HTC_ITP4,Bdend,20000,7,-134.86787858101724
ITP4,HTC_ITP4,soma,25000,7,-134.86787858101724
ITS4,HTC_ITS4,Adend1,5000,8,-131.8810671601339
ITS4,HTC_ITS4,Adend2,10000,8,-131.8810671601339
ITS4,HTC_ITS4,Adend3,15000,8,-131.8810671601339
ITS4,HTC_ITS4,Bdend,20000,8,-131.8810671601339
ITS4,HTC_ITS4,soma,25000,8,-131.8810671601339
PT5B,HTC_PT5B,Adend1,5000,9,-129.52902461174978
PT5B,HTC_PT5B,Adend2,10000,9,-129.52902461174978
PT5B,HTC_PT5B,Adend3,15000,9,-129.52902461174978
PT5B,HTC_PT5B,Bdend,20000,9,-129.52902461174978
PT5B,HTC_PT5B,soma,25000,9,-129.52902461174978
IT5A,HTC_IT5A,Adend1,5000,10,-130.1945634434445
IT5A,HTC_IT5A,Adend2,10000,10,-130.1945634434445
IT5A,HTC_IT5A,Adend3,15000,10,-130.1945634434445
IT5A,HTC_IT5A,Bdend,20000,10,-130.1945634434445
IT5A,HTC_IT5A,soma,25000,10,-130.1945634434445
IT5B,HTC_IT5B,Adend1,5000,11,-130.14480048572176
IT5B,HTC_IT5B,Adend2,10000,11,-130.14480048572176
IT5B,HTC_IT5B,Adend3,15000,11,-130.14480048572176
IT5B,HTC_IT5B,Bdend,20000,11,-130.14480048572176
IT5B,HTC_IT5B,soma,25000,11,-130.14480048572176
IT6,HTC_IT6,Adend1,5000,12,-129.5012146451015
IT6,HTC_IT6,Adend2,10000,12,-129.5012146451015
IT6,HTC_IT6,Adend3,15000,12,-129.5012146451015
IT6,HTC_IT6,Bdend,20000,12,-129.5012146451015
IT6,HTC_IT6,soma,25000,12,-129.5012146451015
CT5A,HTC_CT5A,Adend1,5000,13,-135.04543854446854
CT5A,HTC_CT5A,Adend2,10000,13,-135.04543854446854
CT5A,HTC_CT5A,Adend3,15000,13,-135.04543854446854
CT5A,HTC_CT5A,Bdend,20000,13,-135.04543854446854
CT5A,HTC_CT5A,soma,25000,13,-135.04543854446854
CT5B,HTC_CT5B,Adend1,5000,14,-135.04543909660129
CT5B,HTC_CT5B,Adend2,10000,14,-135.04543909660129
CT5B,HTC_CT5B,Adend3,15000,14,-135.04543909660129
CT5B,HTC_CT5B,Bdend,20000,14,-135.04543909660129
CT5B,HTC_CT5B,soma,25000,14,-135.04543909660129
CT6,HTC_CT6,Adend1,5000,15,-135.04543853228301
CT6,HTC_CT6,Adend2,10000,15,-135.04543853228301
CT6,HTC_CT6,Adend3,15000,15,-135.04543853228301
CT6,HTC_CT6,Bdend,20000,15,-135.04543853228301
CT6,HTC_CT6,soma,25000,15,-135.04543853228301
PV3,HTC_PV3,dend,5000,16,-123.06312692201021
PV3,HTC_PV3,soma,10000,16,-123.06312692201021
PV4,HTC_PV4,dend,5000,17,-123.06312827142116
PV4,HTC_PV4,soma,10000,17,-123.06312827142116
SOM4,HTC_SOM4,dend,5000,18,-113.8906550479027
SOM4,HTC_SOM4,soma,10000,18,-113.8906550479027
NGF4,HTC_NGF4,dend,5000,19,-111.8116661026213
NGF4,HTC_NGF4,soma,10000,19,-111.8116661026213
PV5A,HTC_PV5A,dend,5000,20,-123.06312692201021
PV5A,HTC_PV5A,soma,10000,20,-123.06312692201021
SOM5A,HTC_SOM5A,dend,5000,21,-113.89065508782359
SOM5A,HTC_SOM5A,soma,10000,21,-113.89065508782359
NGF5A,HTC_NGF5A,dend,5000,22,-111.8116661026213
NGF5A,HTC_NGF5A,soma,10000,22,-111.8116661026213
PV5B,HTC_PV5B,dend,5000,23,-123.06312692201021
PV5B,HTC_PV5B,soma,10000,23,-123.06312692201021
SOM5B,HTC_SOM5B,dend,5000,24,-113.89065513215374
SOM5B,HTC_SOM5B,soma,10000,24,-113.89065513215374
NGF5B,HTC_NGF5B,dend,5000,25,-111.8116661026213
NGF5B,HTC_NGF5B,soma,10000,25,-111.8116661026213
PV6,HTC_PV6,dend,5000,26,-123.06312692201021
PV6,HTC_PV6,soma,10000,26,-123.06312692201021
SOM6,HTC_SOM6,dend,5000,27,-113.89065513215374
SOM6,HTC_SOM6,soma,10000,27,-113.89065513215374
NGF6,HTC_NGF6,dend,5000,28,-111.8116661026213
NGF6,HTC_NGF6,soma,10000,28,-111.8116661026213
