ou_mean,ou_std,PV2_r,PV2_cv,PV3_r,PV3_cv,PV4_r,PV4_cv,PV5A_r,PV5A_cv,PV5B_r,PV5B_cv,PV6_r,PV6_cv
0.02,0.008,41.46153846153846,1.331889773644171,39.63636363636363,1.463085972051958,40.086021505376344,1.5079920681244592,40.52054794520548,1.4522749000503297,39.014925373134325,1.5234643762108198,39.44047619047619,1.4541329814042288
0.0,0.004,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.0133333333333333,0.008,2.923076923076923,1.0540146228072378,3.602272727272727,1.269773735520663,4.204301075268817,1.3401156212953413,3.7534246575342465,1.2712116757252596,3.2761194029850746,1.423627113724417,3.3333333333333335,1.3507251729449075
0.0133333333333333,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.0133333333333333,0.004,0.07692307692307693,,0.14772727272727273,,0.06451612903225806,,0.1232876712328767,1.590754739142071,0.04477611940298507,,0.08333333333333333,
0.02,0.0,50.92307692307692,0.32826097797745873,50.95454545454545,0.3266052713258676,51.0,0.3269145211300323,51.0,0.32600449696983924,51.0,0.3260044969698393,51.0,0.32602036346878405
0.02,0.004,42.69230769230769,1.1214296538546573,41.57954545454545,1.2234875193394712,41.935483870967744,1.2248388950599567,42.64383561643836,1.1964770337568493,40.582089552238806,1.2732032381237908,41.714285714285715,1.168721714463787
0.0066666666666666,0.008,0.0,,0.07954545454545454,,0.053763440860215055,,0.1095890410958904,1.6426268469457022,0.029850746268656716,,0.03571428571428571,
0.0,0.008,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.0066666666666666,0.004,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.0066666666666666,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
